_id,1. open,2. high,3. low,4. close,5. volume,date,symbol
67999cac0da2ccc8cae2f22d,2.0000,2.0380,1.8600,1.9200,729695,2025-01-28,ELAB
67999cac0da2ccc8cae2f22e,1.9800,2.1000,1.6800,2.0500,3732922,2025-01-27,ELAB
67999cac0da2ccc8cae2f22f,3.9600,4.0700,2.7800,3.1000,77204170,2025-01-24,ELAB
67999cac0da2ccc8cae2f230,2.0100,2.0500,1.9500,1.9800,144456,2025-01-23,ELAB
67999cac0da2ccc8cae2f231,2.1100,2.1100,2.0100,2.0100,129113,2025-01-22,ELAB
67999cac0da2ccc8cae2f232,2.1700,2.1700,2.0436,2.1100,197184,2025-01-21,ELAB
67999cac0da2ccc8cae2f233,2.1300,2.1600,2.0700,2.1300,124917,2025-01-17,ELAB
67999cac0da2ccc8cae2f234,2.1900,2.2200,2.0603,2.1500,103817,2025-01-16,ELAB
67999cac0da2ccc8cae2f235,2.2000,2.2399,2.0546,2.1600,223454,2025-01-15,ELAB
67999cac0da2ccc8cae2f236,2.0900,2.4000,2.0200,2.3100,811780,2025-01-14,ELAB
67999cac0da2ccc8cae2f237,2.0100,2.1700,1.9600,2.0900,200576,2025-01-13,ELAB
67999cac0da2ccc8cae2f238,2.1000,2.1400,2.0000,2.0600,242316,2025-01-10,ELAB
67999cac0da2ccc8cae2f239,2.3400,2.3400,2.0701,2.1100,337702,2025-01-08,ELAB
67999cac0da2ccc8cae2f23a,2.3200,2.4694,2.2300,2.3400,370566,2025-01-07,ELAB
67999cac0da2ccc8cae2f23b,2.4500,2.5500,2.3050,2.3200,451361,2025-01-06,ELAB
67999cac0da2ccc8cae2f23c,2.5100,2.6000,2.4300,2.4800,370429,2025-01-03,ELAB
67999cac0da2ccc8cae2f23d,2.4200,2.6800,2.3300,2.4800,959612,2025-01-02,ELAB
67999cac0da2ccc8cae2f23e,2.4000,2.4299,2.2300,2.2900,517790,2024-12-31,ELAB
67999cac0da2ccc8cae2f23f,2.3200,2.4500,2.2320,2.3800,451104,2024-12-30,ELAB
67999cac0da2ccc8cae2f240,2.3800,2.4898,2.3062,2.4400,308759,2024-12-27,ELAB
67999cac0da2ccc8cae2f241,2.3500,2.4900,2.1684,2.4100,438575,2024-12-26,ELAB
67999cac0da2ccc8cae2f242,2.5800,2.5800,2.2500,2.3500,380783,2024-12-24,ELAB
67999cac0da2ccc8cae2f243,2.5600,2.6600,2.3000,2.6100,425615,2024-12-23,ELAB
67999cac0da2ccc8cae2f244,2.5700,2.7000,2.0800,2.5600,1263593,2024-12-20,ELAB
67999cac0da2ccc8cae2f245,3.1900,3.5600,2.1601,2.3500,19975294,2024-12-19,ELAB
67999cac0da2ccc8cae2f246,2.0100,2.2100,2.0001,2.1500,2245915,2024-12-18,ELAB
67999cac0da2ccc8cae2f247,2.0100,2.2300,1.8600,1.9700,416310,2024-12-17,ELAB
67999cac0da2ccc8cae2f248,2.2400,2.2400,2.0100,2.0600,444017,2024-12-16,ELAB
67999cac0da2ccc8cae2f249,2.2300,2.3950,2.1800,2.2900,379024,2024-12-13,ELAB
67999cac0da2ccc8cae2f24a,2.4200,2.4605,2.1801,2.2300,372265,2024-12-12,ELAB
67999cac0da2ccc8cae2f24b,2.3700,2.5500,2.1295,2.4900,656494,2024-12-11,ELAB
67999cac0da2ccc8cae2f24c,2.1000,2.8300,2.1000,2.5700,2343273,2024-12-10,ELAB
67999cac0da2ccc8cae2f24d,2.0600,2.2300,2.0100,2.1000,578200,2024-12-09,ELAB
67999cac0da2ccc8cae2f24e,2.0800,2.1000,1.9000,2.0400,516844,2024-12-06,ELAB
67999cac0da2ccc8cae2f24f,1.9900,2.1300,1.8900,2.0700,705113,2024-12-05,ELAB
67999cac0da2ccc8cae2f250,2.0900,2.3800,1.8500,2.0900,3316239,2024-12-04,ELAB
67999cac0da2ccc8cae2f251,2.0400,2.1500,1.9400,1.9900,327220,2024-12-03,ELAB
67999cac0da2ccc8cae2f252,2.0000,2.2500,1.7400,2.1000,1012884,2024-12-02,ELAB
67999cac0da2ccc8cae2f253,2.3800,2.4420,2.0500,2.0500,746539,2024-11-29,ELAB
67999cac0da2ccc8cae2f254,2.3400,2.6000,2.0450,2.4100,941346,2024-11-27,ELAB
67999cac0da2ccc8cae2f255,0.0146,0.0148,0.0125,0.0125,325823948,2024-11-26,ELAB
67999cac0da2ccc8cae2f256,0.0173,0.0173,0.0153,0.0159,325292497,2024-11-25,ELAB
67999cac0da2ccc8cae2f257,0.0186,0.0210,0.0177,0.0201,425375812,2024-11-22,ELAB
67999cac0da2ccc8cae2f258,0.0209,0.0209,0.0200,0.0202,256252917,2024-11-21,ELAB
67999cac0da2ccc8cae2f259,0.0209,0.0221,0.0197,0.0214,199363090,2024-11-20,ELAB
67999cac0da2ccc8cae2f25a,0.0219,0.0224,0.0202,0.0213,195423848,2024-11-19,ELAB
67999cac0da2ccc8cae2f25b,0.0231,0.0245,0.0218,0.0229,290231963,2024-11-18,ELAB
67999cac0da2ccc8cae2f25c,0.0220,0.0260,0.0191,0.0221,380030353,2024-11-15,ELAB
67999cac0da2ccc8cae2f25d,0.0391,0.0441,0.0241,0.0262,1812128243,2024-11-14,ELAB
67999cac0da2ccc8cae2f25e,0.0200,0.0275,0.0191,0.0247,541701514,2024-11-13,ELAB
67999cac0da2ccc8cae2f25f,0.0183,0.0195,0.0171,0.0188,153625681,2024-11-12,ELAB
67999cac0da2ccc8cae2f260,0.0206,0.0208,0.0188,0.0193,177116329,2024-11-11,ELAB
67999cac0da2ccc8cae2f261,0.0208,0.0208,0.0183,0.0189,438787296,2024-11-08,ELAB
67999cac0da2ccc8cae2f262,0.0181,0.0216,0.0171,0.0179,305346045,2024-11-07,ELAB
67999cac0da2ccc8cae2f263,0.0202,0.0218,0.0161,0.0178,307858607,2024-11-06,ELAB
67999cac0da2ccc8cae2f264,0.0253,0.0260,0.0205,0.0214,474568011,2024-11-05,ELAB
67999cac0da2ccc8cae2f265,0.0234,0.0244,0.0190,0.0201,290645011,2024-11-04,ELAB
67999cac0da2ccc8cae2f266,0.0385,0.0399,0.0283,0.0289,202280835,2024-11-01,ELAB
67999cac0da2ccc8cae2f267,0.0644,0.0670,0.0582,0.0590,54285828,2024-10-31,ELAB
67999cac0da2ccc8cae2f268,0.0969,0.0992,0.0900,0.0929,20458043,2024-10-30,ELAB
67999cac0da2ccc8cae2f269,0.1000,0.1050,0.0975,0.1000,11184956,2024-10-29,ELAB
67999cac0da2ccc8cae2f26a,0.0939,0.1043,0.0910,0.0990,21297147,2024-10-28,ELAB
67999cac0da2ccc8cae2f26b,0.1637,0.1840,0.0970,0.1013,398700508,2024-10-25,ELAB
67999cac0da2ccc8cae2f26c,0.0969,0.1005,0.0900,0.0922,7050004,2024-10-24,ELAB
67999cac0da2ccc8cae2f26d,0.1060,0.1134,0.0951,0.1012,11051061,2024-10-23,ELAB
67999cac0da2ccc8cae2f26e,0.0938,0.1110,0.0890,0.1035,20921787,2024-10-22,ELAB
67999cac0da2ccc8cae2f26f,0.0958,0.1350,0.0910,0.0990,68952260,2024-10-21,ELAB
67999cac0da2ccc8cae2f270,0.0854,0.1036,0.0840,0.0931,14455837,2024-10-18,ELAB
67999cac0da2ccc8cae2f271,0.0870,0.0870,0.0832,0.0870,3583882,2024-10-17,ELAB
67999cac0da2ccc8cae2f272,0.0877,0.0889,0.0841,0.0860,3327852,2024-10-16,ELAB
67999cac0da2ccc8cae2f273,0.0900,0.0946,0.0866,0.0891,4972725,2024-10-15,ELAB
67999cac0da2ccc8cae2f274,0.0964,0.0964,0.0916,0.0936,3001736,2024-10-14,ELAB
67999cac0da2ccc8cae2f275,0.1009,0.1010,0.0930,0.0937,5881992,2024-10-11,ELAB
67999cac0da2ccc8cae2f276,0.0990,0.1075,0.0966,0.0974,7929981,2024-10-10,ELAB
67999cac0da2ccc8cae2f277,0.0994,0.1020,0.0955,0.0998,9500175,2024-10-09,ELAB
67999cac0da2ccc8cae2f278,0.1000,0.1138,0.0990,0.1001,15018499,2024-10-08,ELAB
67999cac0da2ccc8cae2f279,0.1095,0.1129,0.0925,0.1051,21066243,2024-10-07,ELAB
67999cac0da2ccc8cae2f27a,0.1057,0.1098,0.0970,0.1080,39855689,2024-10-04,ELAB
67999cac0da2ccc8cae2f27b,0.1571,0.1796,0.1255,0.1320,514809347,2024-10-03,ELAB
67999cac0da2ccc8cae2f27c,0.0885,0.0894,0.0820,0.0852,13700914,2024-10-02,ELAB
67999cac0da2ccc8cae2f27d,0.0841,0.0870,0.0781,0.0825,13839017,2024-10-01,ELAB
67999cac0da2ccc8cae2f27e,0.0890,0.0910,0.0821,0.0830,12248798,2024-09-30,ELAB
67999cac0da2ccc8cae2f27f,0.0930,0.0983,0.0890,0.0923,14457820,2024-09-27,ELAB
67999cac0da2ccc8cae2f280,0.1010,0.1022,0.0861,0.0890,23610258,2024-09-26,ELAB
67999cac0da2ccc8cae2f281,0.1051,0.1130,0.1005,0.1050,41256361,2024-09-25,ELAB
67999cac0da2ccc8cae2f282,0.1008,0.1045,0.0951,0.1030,26676223,2024-09-24,ELAB
67999cac0da2ccc8cae2f283,0.1135,0.1184,0.1006,0.1064,23659699,2024-09-23,ELAB
67999cac0da2ccc8cae2f284,0.3099,0.3170,0.2800,0.2800,502431,2024-09-20,ELAB
67999cac0da2ccc8cae2f285,0.3190,0.3264,0.3008,0.3058,131127,2024-09-19,ELAB
67999cac0da2ccc8cae2f286,0.3171,0.3269,0.3000,0.3000,167770,2024-09-18,ELAB
67999cac0da2ccc8cae2f287,0.3249,0.3700,0.3145,0.3161,364198,2024-09-17,ELAB
67999cac0da2ccc8cae2f288,0.3300,0.3500,0.3041,0.3095,222098,2024-09-16,ELAB
67999cac0da2ccc8cae2f289,0.3080,0.3750,0.3069,0.3500,1114436,2024-09-13,ELAB
67999cac0da2ccc8cae2f28a,0.2900,0.3282,0.2900,0.3100,463797,2024-09-12,ELAB
67999cac0da2ccc8cae2f28b,0.2900,0.3100,0.2851,0.2982,504055,2024-09-11,ELAB
67999cac0da2ccc8cae2f28c,0.2849,0.2941,0.2711,0.2920,738866,2024-09-10,ELAB
67999cac0da2ccc8cae2f28d,0.2845,0.2904,0.2678,0.2802,290179,2024-09-09,ELAB
67999cac0da2ccc8cae2f28e,0.3010,0.3240,0.2900,0.2912,469111,2024-09-06,ELAB
67999cac0da2ccc8cae2f28f,0.3256,0.3600,0.3010,0.3140,2211685,2024-09-05,ELAB
67999cac0da2ccc8cae2f290,0.2810,0.3400,0.2760,0.3237,3078474,2024-09-04,ELAB
67999cac0da2ccc8cae2f291,0.3000,0.3760,0.2771,0.3200,47042131,2024-09-03,ELAB
67999cac0da2ccc8cae2f292,0.2656,0.2720,0.2541,0.2664,411965,2024-08-30,ELAB
67999cac0da2ccc8cae2f293,0.2851,0.2930,0.2510,0.2683,607074,2024-08-29,ELAB
67999cac0da2ccc8cae2f294,0.3100,0.3199,0.2850,0.2851,1017664,2024-08-28,ELAB
67999cac0da2ccc8cae2f295,0.3000,0.3330,0.2755,0.3250,2018077,2024-08-27,ELAB
67999cac0da2ccc8cae2f296,0.3739,0.3900,0.2596,0.3200,38554249,2024-08-26,ELAB
67999cac0da2ccc8cae2f297,0.2967,0.3250,0.2509,0.3070,36142193,2024-08-23,ELAB
67999cac0da2ccc8cae2f298,0.2392,0.2497,0.2276,0.2276,161009,2024-08-22,ELAB
67999cac0da2ccc8cae2f299,0.2425,0.2588,0.2175,0.2300,371406,2024-08-21,ELAB
67999cac0da2ccc8cae2f29a,0.2890,0.3000,0.2410,0.2500,531037,2024-08-20,ELAB
67999cac0da2ccc8cae2f29b,0.2900,0.3000,0.2700,0.2932,591499,2024-08-19,ELAB
67999cac0da2ccc8cae2f29c,0.3120,0.3121,0.2970,0.2970,38570,2024-08-16,ELAB
67999cac0da2ccc8cae2f29d,0.3015,0.3239,0.2810,0.3001,90627,2024-08-15,ELAB
67999cac0da2ccc8cae2f29e,0.3457,0.3457,0.3041,0.3115,62629,2024-08-14,ELAB
67999cac0da2ccc8cae2f29f,0.3480,0.3500,0.3311,0.3335,25237,2024-08-13,ELAB
67999cac0da2ccc8cae2f2a0,0.3443,0.3443,0.3311,0.3315,21790,2024-08-12,ELAB
67999cac0da2ccc8cae2f2a1,0.3411,0.3546,0.3311,0.3311,17425,2024-08-09,ELAB
67999cac0da2ccc8cae2f2a2,0.3600,0.3750,0.3400,0.3410,27902,2024-08-08,ELAB
67999cac0da2ccc8cae2f2a3,0.3550,0.3850,0.3425,0.3540,13929,2024-08-07,ELAB
67999cac0da2ccc8cae2f2a4,0.3400,0.3736,0.3393,0.3599,31893,2024-08-06,ELAB
67999cac0da2ccc8cae2f2a5,0.3640,0.3767,0.3200,0.3341,100739,2024-08-05,ELAB
67999cac0da2ccc8cae2f2a6,0.4400,0.4499,0.3850,0.3921,243531,2024-08-02,ELAB
67999cac0da2ccc8cae2f2a7,0.4500,0.4649,0.4400,0.4400,68616,2024-08-01,ELAB
67999cac0da2ccc8cae2f2a8,0.4495,0.4669,0.4495,0.4667,29226,2024-07-31,ELAB
67999cac0da2ccc8cae2f2a9,0.4400,0.4675,0.4400,0.4410,43143,2024-07-30,ELAB
67999cac0da2ccc8cae2f2aa,0.4700,0.4705,0.4511,0.4600,48650,2024-07-29,ELAB
67999cac0da2ccc8cae2f2ab,0.4414,0.4720,0.4410,0.4425,81651,2024-07-26,ELAB
67999cac0da2ccc8cae2f2ac,0.4587,0.4713,0.4400,0.4444,24833,2024-07-25,ELAB
67999cac0da2ccc8cae2f2ad,0.4370,0.4726,0.4331,0.4500,58389,2024-07-24,ELAB
67999cac0da2ccc8cae2f2ae,0.4800,0.4985,0.4311,0.4330,158834,2024-07-23,ELAB
67999cac0da2ccc8cae2f2af,0.4974,0.5260,0.4650,0.4660,98039,2024-07-22,ELAB
67999cac0da2ccc8cae2f2b0,0.5003,0.5170,0.4951,0.4999,30416,2024-07-19,ELAB
67999cac0da2ccc8cae2f2b1,0.5150,0.5280,0.5003,0.5045,98316,2024-07-18,ELAB
67999cac0da2ccc8cae2f2b2,0.5217,0.5300,0.5070,0.5165,92574,2024-07-17,ELAB
67999cac0da2ccc8cae2f2b3,0.5230,0.5400,0.5003,0.5215,119451,2024-07-16,ELAB
67999cac0da2ccc8cae2f2b4,0.5344,0.5344,0.5000,0.5032,51668,2024-07-15,ELAB
67999cac0da2ccc8cae2f2b5,0.5490,0.5490,0.4798,0.5044,162585,2024-07-12,ELAB
67999cac0da2ccc8cae2f2b6,0.5520,0.5610,0.5225,0.5251,56614,2024-07-11,ELAB
67999cac0da2ccc8cae2f2b7,0.5600,0.5650,0.5400,0.5420,66467,2024-07-10,ELAB
67999cac0da2ccc8cae2f2b8,0.5760,0.5772,0.5600,0.5610,65516,2024-07-09,ELAB
67999cac0da2ccc8cae2f2b9,0.5745,0.5950,0.5610,0.5619,131268,2024-07-08,ELAB
67999cac0da2ccc8cae2f2ba,0.5822,0.5999,0.5720,0.5750,19769,2024-07-05,ELAB
67999cac0da2ccc8cae2f2bb,0.5960,0.5973,0.5720,0.5720,7209,2024-07-03,ELAB
67999cac0da2ccc8cae2f2bc,0.5800,0.5888,0.5720,0.5720,32911,2024-07-02,ELAB
67999cac0da2ccc8cae2f2bd,0.5900,0.5990,0.5800,0.5894,26274,2024-07-01,ELAB
67999cac0da2ccc8cae2f2be,0.5850,0.6000,0.5750,0.5800,80466,2024-06-28,ELAB
67999cac0da2ccc8cae2f2bf,0.5950,0.6000,0.5840,0.5887,30453,2024-06-27,ELAB
67999cac0da2ccc8cae2f2c0,0.5900,0.6000,0.5800,0.5836,133121,2024-06-26,ELAB
67999cac0da2ccc8cae2f2c1,0.5900,0.5979,0.5759,0.5790,30895,2024-06-25,ELAB
67999cac0da2ccc8cae2f2c2,0.5811,0.5971,0.5760,0.5850,26820,2024-06-24,ELAB
67999cac0da2ccc8cae2f2c3,0.5900,0.5980,0.5720,0.5800,24720,2024-06-21,ELAB
67999cac0da2ccc8cae2f2c4,0.6070,0.6070,0.5700,0.5890,48331,2024-06-20,ELAB
67999cac0da2ccc8cae2f2c5,0.6100,0.6181,0.5800,0.5900,60846,2024-06-18,ELAB
67999cac0da2ccc8cae2f2c6,0.5900,0.6299,0.5884,0.5970,33463,2024-06-17,ELAB
67999cac0da2ccc8cae2f2c7,0.6100,0.6400,0.5800,0.5884,165259,2024-06-14,ELAB
67999cac0da2ccc8cae2f2c8,0.6315,0.6400,0.6151,0.6200,49816,2024-06-13,ELAB
67999cac0da2ccc8cae2f2c9,0.6299,0.6396,0.6151,0.6315,58760,2024-06-12,ELAB
67999cac0da2ccc8cae2f2ca,0.6230,0.6399,0.6000,0.6209,79524,2024-06-11,ELAB
67999cac0da2ccc8cae2f2cb,0.6400,0.6714,0.6111,0.6230,111252,2024-06-10,ELAB
67999cac0da2ccc8cae2f2cc,0.6590,0.6625,0.6300,0.6350,256226,2024-06-07,ELAB
67999cac0da2ccc8cae2f2cd,0.6520,0.6649,0.6210,0.6405,66457,2024-06-06,ELAB
67999cac0da2ccc8cae2f2ce,0.6512,0.6700,0.6500,0.6510,41304,2024-06-05,ELAB
67999cac0da2ccc8cae2f2cf,0.6795,0.6932,0.6603,0.6650,29718,2024-06-04,ELAB
67999cac0da2ccc8cae2f2d0,0.6675,0.6800,0.6599,0.6790,41293,2024-06-03,ELAB
67999cac0da2ccc8cae2f2d1,0.6674,0.6674,0.6500,0.6600,40821,2024-05-31,ELAB
67999cac0da2ccc8cae2f2d2,0.6700,0.6700,0.6544,0.6545,63862,2024-05-30,ELAB
67999cac0da2ccc8cae2f2d3,0.6500,0.6700,0.6495,0.6650,123884,2024-05-29,ELAB
67999cac0da2ccc8cae2f2d4,0.6776,0.6776,0.6400,0.6400,250649,2024-05-28,ELAB
67999cac0da2ccc8cae2f2d5,0.6600,0.6700,0.6451,0.6681,99802,2024-05-24,ELAB
67999cac0da2ccc8cae2f2d6,0.6600,0.6698,0.6500,0.6599,123684,2024-05-23,ELAB
67999cac0da2ccc8cae2f2d7,0.7000,0.7000,0.6650,0.6650,66348,2024-05-22,ELAB
67999cac0da2ccc8cae2f2d8,0.6990,0.7000,0.6631,0.6750,114537,2024-05-21,ELAB
67999cac0da2ccc8cae2f2d9,0.6851,0.6999,0.6700,0.6750,89487,2024-05-20,ELAB
67999cac0da2ccc8cae2f2da,0.6570,0.6950,0.6511,0.6851,147204,2024-05-17,ELAB
67999cac0da2ccc8cae2f2db,0.6450,0.6600,0.6350,0.6501,68939,2024-05-16,ELAB
67999cac0da2ccc8cae2f2dc,0.6410,0.6503,0.6300,0.6300,76088,2024-05-15,ELAB
67999cac0da2ccc8cae2f2dd,0.6499,0.6503,0.6301,0.6310,90112,2024-05-14,ELAB
67999cac0da2ccc8cae2f2de,0.6507,0.6700,0.6500,0.6503,73911,2024-05-13,ELAB
67999cac0da2ccc8cae2f2df,0.6701,0.6990,0.6500,0.6500,122735,2024-05-10,ELAB
67999cac0da2ccc8cae2f2e0,0.6740,0.6997,0.6600,0.6829,123930,2024-05-09,ELAB
67999cac0da2ccc8cae2f2e1,0.6695,0.6998,0.6695,0.6846,64324,2024-05-08,ELAB
67999cac0da2ccc8cae2f2e2,0.6850,0.6990,0.6659,0.6695,154177,2024-05-07,ELAB
67999cac0da2ccc8cae2f2e3,0.6900,0.6999,0.6600,0.6612,79615,2024-05-06,ELAB
67999cac0da2ccc8cae2f2e4,0.7100,0.7185,0.6300,0.7009,537921,2024-05-03,ELAB
67999cac0da2ccc8cae2f2e5,0.6900,0.7600,0.6601,0.7050,1578664,2024-05-02,ELAB
67999cac0da2ccc8cae2f2e6,0.6884,0.7165,0.6300,0.6520,2702666,2024-05-01,ELAB
67999cac0da2ccc8cae2f2e7,0.6950,0.7340,0.6701,0.7007,131944,2024-04-30,ELAB
67999cac0da2ccc8cae2f2e8,0.6704,0.7500,0.6330,0.7094,565720,2024-04-29,ELAB
67999cac0da2ccc8cae2f2e9,0.6799,0.6799,0.6220,0.6592,154413,2024-04-26,ELAB
67999cac0da2ccc8cae2f2ea,0.6100,0.7400,0.6000,0.6740,307419,2024-04-25,ELAB
67999cac0da2ccc8cae2f2eb,0.6130,0.6200,0.5900,0.6040,64865,2024-04-24,ELAB
67999cac0da2ccc8cae2f2ec,0.5800,0.6051,0.5750,0.6000,21569,2024-04-23,ELAB
67999cac0da2ccc8cae2f2ed,0.5850,0.5950,0.5750,0.5800,28591,2024-04-22,ELAB
